io.noties.markwon.image-4.6.2	io/noties/markwon/image
io.noties.markwon.image-picasso-4.6.2	io/noties/markwon/image/picasso
itemanimators-1.1.0	com/mikepenz/itemanimators
jackson-annotations-2.10.3	com/fasterxml/jackson/annotation
jackson-annotations-2.11.1	com/fasterxml/jackson/annotation
jackson-annotations-2.3.2	com/fasterxml/jackson/annotation
jackson-core-2.10.0	com/fasterxml/jackson/core
jackson-core-2.10.3	com/fasterxml/jackson/core
jackson-core-2.11.0	com/fasterxml/jackson/core
jackson-core-2.11.1	com/fasterxml/jackson/core
jackson-databind-2.10.3	com/fasterxml/jackson/databind
jackson-databind-2.11.1	com/fasterxml/jackson/databind
jackson-databind-2.3.2	com/fasterxml/jackson/databind
jaudiotagger-2.3.14	org/jaudiotagger
java-semver-0.9.0	com/github/zafarkhaja/semver
java-string-similarity-2.0.0	info/debatty/java/stringsimilarity
JavaBitcoindRpcClient-1.0.0	wf/bitcoin
javaosc-core-0.3	com/illposed/osc
jdeferred-core-1.2.4	org/jdeferred
jetified-acra-limiter-5.8.4	org/acra
jfreechart-1.0.14	org/jfree
jmustache-1.15	com/samskivert/mustache
joda-time-2.10.10	org/joda/time
joda-time-2.10.6	org/joda/time
joda-time-2.10.9	org/joda/time
jsonapi-converter-0.10	com/github/jasminb/jsonapi
jsoup-1.10.2	org/jsoup
jsoup-1.11.3	org/jsoup
jsoup-1.12.1	org/jsoup
jsoup-1.12.2	org/jsoup
jsoup-1.13.1	org/jsoup
jsoup-1.14.1	org/jsoup
jsoup-1.14.2	org/jsoup
jsoup-1.8.3	org/jsoup
jsoup-1.9.2	org/jsoup
jsr-305-3.0.2	javax/annotation
jssc-2.8.0	jssc
jsyn-16.8.0a	jsyn-16.8.0a
jtransforms-2.4.0	edu/emory/mathcs
juniversalchardet-2.4.0	org/mozilla/universalchardet
jurl-0.4.2	com/anthonynsimon/url
k2pdfopt-0.1.6	com/github/axet/k2pdfopt
KAXT-1.0	
keyboardvisibilityevent-3.0.0-RC3	net/yslibrary/android/keyboardvisibilityevent
kotpref-2.13.0	com/chibatching/kotpref
kotpref-initializer-2.13.0	com/chibatching/kotpref/initializer
kovenant-android-3.3.0	nl/komponents/kovenant/android
libphonenumber-8.11.0	com/google/i18n/phonenumbers
libvlc-all-3.1.12	org/videolan/libvlc
licensesdialog-1.8.3	de/psdev/licensesdialog
licensesdialog-2.1.0	de/psdev/licensesdialog
loading-button-android-1.14.0	br/com/simplepass/loading_button_lib
loading-button-android-2.2.0	br/com/simplepass/loadingbutton
logansquare-1.3.7	com/bluelinelabs/logansquare
logback-android-2.0.0	ch/qos/logback
